serie,serie_id,factor,penalizacion,n_cambios
topic,38,2.0,0.0031946245601205112,1
topic,38,4.0,0.0063892491202410225,0
topic,39,0.25,0.0023122868193043338,2
topic,39,0.5,0.0046245736386086676,2
topic,39,1.0,0.009249147277217335,2
topic,39,2.0,0.01849829455443467,0
topic,39,4.0,0.03699658910886934,0
topic,4,0.25,0.00663237116107975,3
topic,4,0.5,0.0132647423221595,3
topic,4,1.0,0.026529484644319,3
topic,4,2.0,0.053058969288638,2
topic,4,4.0,0.106117938577276,2
topic,40,0.25,0.0008061476363240995,1
topic,40,0.5,0.001612295272648199,1
topic,40,1.0,0.003224590545296398,1
topic,40,2.0,0.006449181090592796,0
topic,40,4.0,0.012898362181185593,0
topic,41,0.25,9.798516937118052e-05,5
topic,41,0.5,0.00019597033874236105,3
topic,41,1.0,0.0003919406774847221,3
topic,41,2.0,0.0007838813549694442,1
topic,41,4.0,0.0015677627099388884,1
topic,42,0.25,0.0001392203497736318,3
topic,42,0.5,0.0002784406995472636,2
topic,42,1.0,0.0005568813990945272,2
topic,42,2.0,0.0011137627981890545,1
topic,42,4.0,0.002227525596378109,0
topic,43,0.25,250.0,0
topic,43,0.5,500.0,0
topic,43,1.0,1000.0,0
topic,43,2.0,2000.0,0
topic,43,4.0,4000.0,0
topic,44,0.25,9.798516937118052e-05,5
topic,44,0.5,0.00019597033874236105,4
topic,44,1.0,0.0003919406774847221,2
topic,44,2.0,0.0007838813549694442,1
topic,44,4.0,0.0015677627099388884,0
topic,45,0.25,0.0001392203497736318,5
topic,45,0.5,0.0002784406995472636,3
topic,45,1.0,0.0005568813990945272,3
topic,45,2.0,0.0011137627981890545,1
topic,45,4.0,0.002227525596378109,0
topic,46,0.25,6.896329044072961e-05,6
topic,46,0.5,0.00013792658088145922,3
topic,46,1.0,0.00027585316176291844,3
topic,46,2.0,0.0005517063235258369,1
topic,46,4.0,0.0011034126470516738,0
topic,47,0.25,9.798516937118052e-05,5
topic,47,0.5,0.00019597033874236105,4
topic,47,1.0,0.0003919406774847221,2
topic,47,2.0,0.0007838813549694442,0
topic,47,4.0,0.0015677627099388884,0
topic,48,0.25,250.0,0
topic,48,0.5,500.0,0
topic,48,1.0,1000.0,0
topic,48,2.0,2000.0,0
topic,48,4.0,4000.0,0
topic,49,0.25,0.0005673776341736677,2
topic,49,0.5,0.0011347552683473353,2
topic,49,1.0,0.0022695105366946707,2
topic,49,2.0,0.004539021073389341,1
topic,49,4.0,0.009078042146778683,0
topic,5,0.25,0.003285368406529395,1
topic,5,0.5,0.00657073681305879,1
topic,5,1.0,0.01314147362611758,1
topic,5,2.0,0.02628294725223516,0
topic,5,4.0,0.05256589450447032,0
topic,50,0.25,6.896329044072961e-05,4
topic,50,0.5,0.00013792658088145922,4
topic,50,1.0,0.00027585316176291844,4
topic,50,2.0,0.0005517063235258369,1
topic,50,4.0,0.0011034126470516738,1
topic,51,0.25,0.0023122868193043338,1
topic,51,0.5,0.0046245736386086676,1
topic,51,1.0,0.009249147277217335,1
topic,51,2.0,0.01849829455443467,0
topic,51,4.0,0.03699658910886934,0
topic,52,0.25,9.798516937118052e-05,7
topic,52,0.5,0.00019597033874236105,2
topic,52,1.0,0.0003919406774847221,2
topic,52,2.0,0.0007838813549694442,0
topic,52,4.0,0.0015677627099388884,0
topic,53,0.25,0.0011453994172636228,3
topic,53,0.5,0.0022907988345272456,2
topic,53,1.0,0.004581597669054491,2
topic,53,2.0,0.009163195338108982,0
topic,53,4.0,0.018326390676217965,0
topic,54,0.25,0.0003993280700150639,4
topic,54,0.5,0.0007986561400301278,4
topic,54,1.0,0.0015973122800602556,4
topic,54,2.0,0.0031946245601205112,0
topic,54,4.0,0.0063892491202410225,0
topic,55,0.25,250.0,0
topic,55,0.5,500.0,0
topic,55,1.0,1000.0,0
topic,55,2.0,2000.0,0
topic,55,4.0,4000.0,0
topic,56,0.25,0.0008061476363240995,1
topic,56,0.5,0.001612295272648199,1
topic,56,1.0,0.003224590545296398,1
topic,56,2.0,0.006449181090592796,0
topic,56,4.0,0.012898362181185593,0
topic,57,0.25,9.798516937118052e-05,3
topic,57,0.5,0.00019597033874236105,3
topic,57,1.0,0.0003919406774847221,3
topic,57,2.0,0.0007838813549694442,2
topic,57,4.0,0.0015677627099388884,0
topic,6,0.25,0.0008061476363240995,6
topic,6,0.5,0.001612295272648199,4
topic,6,1.0,0.003224590545296398,4
topic,6,2.0,0.006449181090592796,1
topic,6,4.0,0.012898362181185593,0
topic,7,0.25,0.0005673776341736677,7
topic,7,0.5,0.0011347552683473353,4
topic,7,1.0,0.0022695105366946707,2
topic,7,2.0,0.004539021073389341,0
