evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
COVID-19: estado de alarma,topic,18,0.213619,0.053978,0.611809,82,0.052421,0.012381
Guerra de Ucrania,topic,18,0.160448,0.149878,0.611809,82,0.014056,0.015937
Elecciones generales 20-D,topic,19,-0.06893,0.538335,0.784796,82,0.009298,0.012981
Elecciones generales 26-J,topic,19,-0.222449,0.044571,0.611809,82,0.0,0.013633
Moción de censura,topic,19,0.126942,0.255761,0.615336,82,0.020384,0.012203
Elecciones generales 28-A,topic,19,-0.197685,0.075036,0.611809,82,0.0,0.013458
Elecciones generales 10-N,topic,19,-0.128755,0.248979,0.615336,82,0.001408,0.013386
Investidura de 2020,topic,19,-0.160397,0.150009,0.611809,82,0.001127,0.01356
COVID-19: estado de alarma,topic,19,-0.1544,0.16605,0.611809,82,0.001814,0.013827
Guerra de Ucrania,topic,19,-0.114033,0.307685,0.646604,82,0.003214,0.013558
Elecciones generales 20-D,topic,2,-0.0012,0.99146,0.994323,82,0.051301,0.067196
Elecciones generales 26-J,topic,2,-0.296082,0.006917,0.611809,82,0.005159,0.070398
Moción de censura,topic,2,0.172766,0.120628,0.611809,82,0.086492,0.064836
Elecciones generales 28-A,topic,2,-0.189658,0.087898,0.611809,82,0.016092,0.069001
Elecciones generales 10-N,topic,2,-0.110434,0.323302,0.646604,82,0.027534,0.068415
Investidura de 2020,topic,2,-0.21828,0.048828,0.611809,82,0.015605,0.06972
COVID-19: estado de alarma,topic,2,-0.185073,0.095995,0.611809,82,0.023894,0.07039
Guerra de Ucrania,topic,2,0.18766,0.091358,0.611809,82,0.204276,0.055537
Elecciones generales 20-D,topic,20,-0.070495,0.529123,0.78291,82,0.007199,0.012039
Elecciones generales 26-J,topic,20,-0.256032,0.020248,0.611809,82,0.001681,0.01246
Moción de censura,topic,20,0.10858,0.331541,0.654758,82,0.014906,0.011558
Elecciones generales 28-A,topic,20,-0.151929,0.173014,0.611809,82,0.004866,0.012159
Elecciones generales 10-N,topic,20,-0.015801,0.887954,0.973195,82,0.009481,0.011922
Investidura de 2020,topic,20,0.001094,0.992216,0.994323,82,0.015043,0.011592
COVID-19: estado de alarma,topic,20,0.079643,0.476924,0.745391,82,0.016718,0.011344
Guerra de Ucrania,topic,20,-0.210123,0.058126,0.611809,82,0.003332,0.012472
Elecciones generales 20-D,topic,21,-0.043418,0.698521,0.886295,82,0.010418,0.021801
Elecciones generales 26-J,topic,21,-0.035829,0.749297,0.899821,82,0.016722,0.021539
Moción de censura,topic,21,0.03791,0.735259,0.898581,82,0.016198,0.021644
Elecciones generales 28-A,topic,21,-0.043418,0.698521,0.886295,82,0.017585,0.021433
Elecciones generales 10-N,topic,21,-0.065128,0.561024,0.797601,82,0.008901,0.021878
Investidura de 2020,topic,21,-0.137887,0.216696,0.611809,82,0.005434,0.022272
COVID-19: estado de alarma,topic,21,-0.004649,0.966937,0.990009,82,0.014684,0.021858
Guerra de Ucrania,topic,21,0.061853,0.580927,0.809886,82,0.097838,0.015199
Elecciones generales 20-D,topic,22,-0.034032,0.761486,0.905344,82,0.005132,0.017454
Elecciones generales 26-J,topic,22,-0.217988,0.049138,0.611809,82,0.0,0.017947
Moción de censura,topic,22,0.025985,0.816748,0.928928,82,0.013103,0.017149
Elecciones generales 28-A,topic,22,0.049739,0.657211,0.864077,82,0.030773,0.016139
Elecciones generales 10-N,topic,22,-0.193721,0.081186,0.611809,82,0.0,0.017717
Investidura de 2020,topic,22,-0.217988,0.049138,0.611809,82,0.0,0.017947
COVID-19: estado de alarma,topic,22,-0.152366,0.171767,0.611809,82,0.009086,0.017578
Guerra de Ucrania,topic,22,-0.056301,0.61539,0.827533,82,0.004072,0.017862
Elecciones generales 20-D,topic,23,-0.181902,0.101928,0.611809,82,0.0,0.012307
Elecciones generales 26-J,topic,23,-0.078263,0.484616,0.754913,82,0.009565,0.011846
Moción de censura,topic,23,0.137188,0.219059,0.611809,82,0.015254,0.011427
Elecciones generales 28-A,topic,23,-0.081588,0.466193,0.740649,82,0.004258,0.012089
Elecciones generales 10-N,topic,23,0.098976,0.376329,0.688027,82,0.023737,0.01109
Investidura de 2020,topic,23,-0.075855,0.498197,0.76197,82,0.009577,0.011845
COVID-19: estado de alarma,topic,23,-0.135073,0.226313,0.615336,82,0.006841,0.012161
Guerra de Ucrania,topic,23,0.021021,0.851309,0.954437,82,0.008461,0.011963
Elecciones generales 20-D,topic,24,-0.093316,0.40436,0.689018,82,0.001016,0.010887
Elecciones generales 26-J,topic,24,-0.191481,0.084835,0.611809,82,0.0,0.011081
Moción de censura,topic,24,0.124863,0.263693,0.615336,82,0.013104,0.010193
Elecciones generales 28-A,topic,24,-0.170164,0.126409,0.611809,82,0.0,0.010939
Elecciones generales 10-N,topic,24,0.021957,0.844769,0.953769,82,0.005482,0.010658
Investidura de 2020,topic,24,-0.102535,0.359323,0.670357,82,0.002817,0.010899
COVID-19: estado de alarma,topic,24,-0.153395,0.168857,0.611809,82,0.002012,0.011189
Guerra de Ucrania,topic,24,-0.031783,0.776822,0.908666,82,0.006915,0.010681
Elecciones generales 20-D,topic,25,0.073265,0.513023,0.771168,82,0.006183,0.009116
Elecciones generales 26-J,topic,25,-0.144637,0.194816,0.611809,82,0.001681,0.009446
Moción de censura,topic,25,-0.087183,0.436075,0.722202,82,0.003173,0.009431
Elecciones generales 28-A,topic,25,-0.205656,0.0638,0.611809,82,0.0,0.009433
Elecciones generales 10-N,topic,25,-0.077121,0.491033,0.760088,82,0.001685,0.009347
Investidura de 2020,topic,25,-0.177035,0.111585,0.611809,82,0.000563,0.009519
COVID-19: estado de alarma,topic,25,-0.098097,0.380604,0.688027,82,0.002565,0.009571
Guerra de Ucrania,topic,25,0.08612,0.441713,0.724426,82,0.017185,0.008324
Elecciones generales 20-D,topic,26,0.027198,0.808349,0.924816,82,0.009163,0.016528
Elecciones generales 26-J,topic,26,-0.195876,0.077794,0.611809,82,0.0,0.017219
Moción de censura,topic,26,-0.035996,0.748164,0.899821,82,0.007309,0.016868
Elecciones generales 28-A,topic,26,0.089755,0.422606,0.707341,82,0.033814,0.015264
Elecciones generales 10-N,topic,26,-0.17407,0.117808,0.611809,82,0.0,0.016998
Investidura de 2020,topic,26,-0.195876,0.077794,0.611809,82,0.0,0.017219
